#{"t_start": 1756768239.7492385, "env_id": "None"}
r,l,t
-6.0,50,0.047858
-17.0,50,0.079952
-6.0,50,0.112754
-17.0,50,0.129021
-8.0,50,0.149077
-7.0,50,0.170467
2.0,50,0.190516
-1.0,50,0.206509
6.0,50,0.231167
-13.0,50,0.248741
3.0,50,0.27096
-5.0,50,0.297918
-1.0,50,0.316476
-8.0,50,0.334472
0.0,50,0.351516
-7.0,50,0.369631
2.0,50,0.38904
7.0,50,0.408375
-3.0,50,0.426338
6.0,50,0.441828
-4.0,50,0.462478
5.0,50,0.47999
-7.0,50,0.501177
-1.0,50,0.517708
4.0,50,0.534316
-4.0,50,0.551195
-4.0,50,0.567348
-4.0,50,0.590884
-5.0,50,0.610393
-2.0,50,0.631191
-5.0,50,0.649643
-8.0,50,0.670731
4.0,50,0.688393
7.0,50,0.709387
6.0,50,0.727633
1.0,50,0.74566
6.0,50,0.763651
-1.0,50,0.786793
0.0,50,0.808187
-7.0,50,0.923447
1.0,50,2.385797
1.0,50,2.409763
8.0,50,2.430392
-2.0,50,2.448051
2.0,50,2.468141
-2.0,50,2.485144
1.0,50,2.50564
-24.0,50,2.523803
-4.0,50,2.541005
-4.0,50,2.559271
13.0,50,2.579965
4.0,50,2.598753
-8.0,50,2.618865
8.0,50,2.637916
7.0,50,2.654305
10.0,50,2.672785
3.0,50,2.690506
8.0,50,2.708929
9.0,50,2.724959
-11.0,50,2.748207
4.0,50,2.765387
2.0,50,2.790385
-2.0,50,2.810695
6.0,50,2.832693
3.0,50,2.8514
8.0,50,2.872291
-9.0,50,2.889577
12.0,50,2.906634
10.0,50,2.925622
6.0,50,2.940744
1.0,50,2.956531
3.0,50,2.977106
0.0,50,3.009152
1.0,50,3.028111
-1.0,50,3.050706
10.0,50,3.070417
3.0,50,3.092894
0.0,50,3.109906
7.0,50,3.126259
5.0,50,3.143822
-14.0,50,3.164526
9.0,50,4.553077
4.0,50,4.584485
-5.0,50,4.603602
9.0,50,4.62192
-7.0,50,4.636526
-7.0,50,4.655065
0.0,50,4.674377
7.0,50,4.692187
-1.0,50,4.709898
-1.0,50,4.730977
3.0,50,4.746598
-8.0,50,4.764525
-9.0,50,4.778957
-3.0,50,4.799055
8.0,50,4.813369
-3.0,50,4.832015
10.0,50,4.846509
9.0,50,4.865049
11.0,50,4.884123
8.0,50,4.903395
2.0,50,4.924837
10.0,50,4.950402
12.0,50,4.96624
2.0,50,4.988013
11.0,50,5.006531
8.0,50,5.025123
-5.0,50,5.047058
0.0,50,5.072641
9.0,50,5.098621
2.0,50,5.121033
7.0,50,5.137978
12.0,50,5.158725
2.0,50,5.1761
3.0,50,5.20416
-7.0,50,5.232505
0.0,50,5.26003
10.0,50,5.2809
-5.0,50,5.29887
-8.0,50,5.319509
-4.0,50,5.338607
9.0,50,5.356266
-1.0,50,6.788563
5.0,50,6.819215
4.0,50,6.845109
7.0,50,6.868074
2.0,50,6.888126
-4.0,50,6.910337
11.0,50,6.928525
-26.0,50,6.947861
-3.0,50,6.968569
4.0,50,6.984697
13.0,50,7.003009
13.0,50,7.018626
-10.0,50,7.039224
-2.0,50,7.059504
-6.0,50,7.085548
2.0,50,7.105701
-13.0,50,7.123828
1.0,50,7.139903
8.0,50,7.159695
-3.0,50,7.178064
7.0,50,7.198724
11.0,50,7.218753
-5.0,50,7.238429
9.0,50,7.2541
6.0,50,7.270896
5.0,50,7.294708
8.0,50,7.314109
-7.0,50,7.338917
0.0,50,7.356553
-5.0,50,7.382345
5.0,50,7.401193
3.0,50,7.418993
1.0,50,7.44324
8.0,50,7.459671
6.0,50,7.47635
9.0,50,7.494201
-9.0,50,7.509995
0.0,50,7.527178
1.0,50,7.547748
3.0,50,7.566868
4.0,50,7.585962
-38.0,50,9.047138
-5.0,50,9.074339
7.0,50,9.101119
1.0,50,9.124203
2.0,50,9.139996
0.0,50,9.160791
-4.0,50,9.175061
-8.0,50,9.198105
5.0,50,9.217034
8.0,50,9.236404
-11.0,50,9.258866
3.0,50,9.276322
6.0,50,9.299514
-8.0,50,9.321126
2.0,50,9.350752
9.0,50,9.375343
7.0,50,9.409165
2.0,50,9.4324
4.0,50,9.455727
6.0,50,9.472692
-1.0,50,9.494919
-1.0,50,9.524072
0.0,50,9.555301
11.0,50,9.588152
9.0,50,9.613828
6.0,50,9.63412
11.0,50,9.656994
1.0,50,9.676428
3.0,50,9.696069
-13.0,50,9.716995
2.0,50,9.739503
7.0,50,9.760185
-9.0,50,9.780184
7.0,50,9.797333
-1.0,50,9.813912
7.0,50,9.841206
-1.0,50,9.875876
0.0,50,9.909773
4.0,50,9.932988
0.0,50,9.949834
-2.0,50,9.974211
-48.0,50,321.498291
1.0,50,476.933462
-38.0,50,484.273642
0.0,50,487.566726
-44.0,50,490.408906
0.0,50,493.482892
-46.0,50,496.349943
-42.0,50,498.473929
1.0,50,501.008144
0.0,50,1087.401806
6.0,50,1094.446957
-50.0,50,1106.406441
-50.0,50,1109.839033
-38.0,50,1113.158149
-50.0,50,1848.021802
-47.0,50,1913.386185
3.0,50,1934.949853
-36.0,50,1947.543459
